code_module,code_presentation,id_assessment,assessment_type,date,weight
AAA,2014J,1758,TMA,19,10
AAA,2014J,1759,TMA,54,20
AAA,2014J,1760,TMA,117,20
AAA,2014J,1761,TMA,166,20
AAA,2014J,1762,TMA,215,30
AAA,2014J,1763,Exam,,100
BBB,2014J,15020,TMA,19,0
BBB,2014J,15021,TMA,54,10
BBB,2014J,15022,TMA,110,20
BBB,2014J,15023,TMA,152,35
BBB,2014J,15024,TMA,201,35
BBB,2014J,15025,Exam,,100
CCC,2014J,24295,CMA,18,2
CCC,2014J,24296,CMA,67,7
CCC,2014J,24297,CMA,144,8
CCC,2014J,24298,CMA,214,8
CCC,2014J,24291,TMA,32,9
CCC,2014J,24292,TMA,109,22
CCC,2014J,24293,TMA,158,22
CCC,2014J,24294,TMA,207,22
CCC,2014J,24299,Exam,,100
CCC,2014J,40088,Exam,,100
DDD,2014J,25362,TMA,20,5
DDD,2014J,25363,TMA,41,10
DDD,2014J,25364,TMA,62,10
DDD,2014J,25365,TMA,111,25
DDD,2014J,25366,TMA,146,25
DDD,2014J,25367,TMA,195,25
DDD,2014J,25368,Exam,,100
EEE,2014J,30719,TMA,33,16
EEE,2014J,30720,TMA,68,28
EEE,2014J,30721,TMA,131,28
EEE,2014J,30722,TMA,166,28
EEE,2014J,30723,Exam,235,100
FFF,2014J,34904,CMA,241,0
FFF,2014J,34905,CMA,241,0
FFF,2014J,34906,CMA,241,0
FFF,2014J,34907,CMA,241,0
FFF,2014J,34908,CMA,241,0
FFF,2014J,34910,CMA,241,0
FFF,2014J,34909,CMA,241,0
FFF,2014J,34899,TMA,24,12.5
FFF,2014J,34900,TMA,52,12.5
FFF,2014J,34901,TMA,94,25
FFF,2014J,34902,TMA,136,25
FFF,2014J,34903,TMA,199,25
FFF,2014J,34911,Exam,241,100
GGG,2014J,37438,CMA,229,0
GGG,2014J,37439,CMA,229,0
GGG,2014J,37440,CMA,229,0
GGG,2014J,37441,CMA,229,0
GGG,2014J,37442,CMA,229,0
GGG,2014J,37443,CMA,229,0
GGG,2014J,37435,TMA,61,0
GGG,2014J,37436,TMA,124,0
GGG,2014J,37437,TMA,173,0
GGG,2014J,37444,Exam,229,100
