code_module,code_presentation,id_student,date_registration,date_unregistration
AAA,2014J,6516,-52,
AAA,2014J,24734,-18,
AAA,2014J,26192,-38,
AAA,2014J,28061,-130,
AAA,2014J,31600,-52,
AAA,2014J,46844,-74,
AAA,2014J,52765,-22,
AAA,2014J,55104,-87,
AAA,2014J,58071,-72,
AAA,2014J,58316,-80,
AAA,2014J,62487,-50,
AAA,2014J,63165,-82,
AAA,2014J,65002,-144,
AAA,2014J,70011,-78,
AAA,2014J,75255,-58,
AAA,2014J,79403,-23,164
AAA,2014J,85092,-52,
AAA,2014J,85144,-41,
AAA,2014J,85302,-72,
AAA,2014J,87431,-106,235
AAA,2014J,94961,-150,
AAA,2014J,95755,-80,241
AAA,2014J,101116,-80,
AAA,2014J,107489,-81,
AAA,2014J,108872,-80,
AAA,2014J,109155,-80,
AAA,2014J,111512,-16,
AAA,2014J,117818,-92,
AAA,2014J,119902,-31,207
AAA,2014J,121349,-28,
AAA,2014J,124064,-44,
AAA,2014J,125018,-36,
AAA,2014J,129955,-143,143
AAA,2014J,130034,-82,
AAA,2014J,130547,-25,
AAA,2014J,130636,-68,
AAA,2014J,131390,-115,
AAA,2014J,133816,-15,
AAA,2014J,133922,-110,
AAA,2014J,135335,-82,24
AAA,2014J,135400,-51,
AAA,2014J,135471,-149,
AAA,2014J,139033,-46,
AAA,2014J,141377,-127,
AAA,2014J,141506,-28,
AAA,2014J,146503,-30,
AAA,2014J,147756,-41,
AAA,2014J,148993,-154,
AAA,2014J,149741,-74,
AAA,2014J,149962,-92,
AAA,2014J,151587,-129,234
AAA,2014J,152668,-72,104
AAA,2014J,155984,-156,
AAA,2014J,158707,-57,172
AAA,2014J,159954,-24,201
AAA,2014J,164944,-148,
AAA,2014J,165226,-22,
AAA,2014J,167961,-44,
AAA,2014J,174024,-85,
AAA,2014J,174094,-89,
AAA,2014J,174745,-30,
AAA,2014J,175447,-115,
AAA,2014J,175772,-45,67
AAA,2014J,183057,-23,
AAA,2014J,185350,-22,
AAA,2014J,188278,-64,
AAA,2014J,199636,-30,
AAA,2014J,199897,3,
AAA,2014J,200804,-80,
AAA,2014J,205494,-45,
AAA,2014J,228021,-68,
AAA,2014J,228383,-21,
AAA,2014J,232307,-107,
AAA,2014J,235068,-156,
AAA,2014J,235507,-135,
AAA,2014J,236875,-20,
AAA,2014J,237274,-155,
AAA,2014J,243510,-16,
AAA,2014J,244246,-137,
AAA,2014J,248581,-61,
