id_site,code_module,code_presentation,activity_type,week_from,week_to
877162,AAA,2014J,resource,,
877223,AAA,2014J,resource,,
877032,AAA,2014J,oucontent,,
877263,AAA,2014J,resource,,
877064,AAA,2014J,oucontent,,
877098,AAA,2014J,oucontent,,
877157,AAA,2014J,resource,,
877220,AAA,2014J,resource,,
877029,AAA,2014J,glossary,,
877260,AAA,2014J,resource,,
877061,AAA,2014J,oucontent,,
1032910,AAA,2014J,url,,
877094,AAA,2014J,oucontent,,
877154,AAA,2014J,resource,,
877217,AAA,2014J,resource,,
877025,AAA,2014J,forumng,,
877256,AAA,2014J,resource,,
877058,AAA,2014J,oucontent,,
877423,AAA,2014J,dataplus,,
877091,AAA,2014J,oucontent,,
877151,AAA,2014J,resource,,
877214,AAA,2014J,resource,,
877012,AAA,2014J,forumng,,
877253,AAA,2014J,resource,,
877055,AAA,2014J,oucontent,,
877420,AAA,2014J,dataplus,,
877088,AAA,2014J,oucontent,,
877148,AAA,2014J,resource,,
877211,AAA,2014J,resource,,
877247,AAA,2014J,resource,,
877052,AAA,2014J,oucontent,,
877402,AAA,2014J,url,,
877085,AAA,2014J,oucontent,,
877145,AAA,2014J,resource,,
877208,AAA,2014J,resource,,
877244,AAA,2014J,resource,,
877049,AAA,2014J,oucontent,,
877397,AAA,2014J,url,,
877081,AAA,2014J,oucontent,,
877142,AAA,2014J,resource,,
877203,AAA,2014J,resource,,
877241,AAA,2014J,resource,,
877046,AAA,2014J,oucontent,,
877394,AAA,2014J,url,,
877078,AAA,2014J,oucontent,,
877197,AAA,2014J,resource,,
877237,AAA,2014J,resource,,
877043,AAA,2014J,oucontent,,
877387,AAA,2014J,url,,
877075,AAA,2014J,oucontent,,
877139,AAA,2014J,resource,,
877190,AAA,2014J,resource,,
877233,AAA,2014J,resource,,
877040,AAA,2014J,oucontent,2,2
877384,AAA,2014J,url,,
877072,AAA,2014J,oucontent,,
877135,AAA,2014J,subpage,,
877184,AAA,2014J,resource,,
877229,AAA,2014J,resource,,
877037,AAA,2014J,oucontent,,
877380,AAA,2014J,oucollaborate,,
877069,AAA,2014J,oucontent,,
877132,AAA,2014J,subpage,,
877172,AAA,2014J,resource,,
877225,AAA,2014J,resource,,
877034,AAA,2014J,oucontent,,
877265,AAA,2014J,resource,,
877066,AAA,2014J,oucontent,,
877100,AAA,2014J,oucontent,,
877159,AAA,2014J,resource,,
877222,AAA,2014J,resource,,
877031,AAA,2014J,oucontent,,
877262,AAA,2014J,resource,,
877063,AAA,2014J,oucontent,,
1072237,AAA,2014J,url,,
877096,AAA,2014J,oucontent,,
877156,AAA,2014J,resource,,
877219,AAA,2014J,resource,,
877028,AAA,2014J,glossary,,
877259,AAA,2014J,resource,,
877060,AAA,2014J,oucontent,,
1027118,AAA,2014J,url,,
877093,AAA,2014J,oucontent,,
877153,AAA,2014J,resource,,
877216,AAA,2014J,resource,,
877023,AAA,2014J,forumng,,
877255,AAA,2014J,resource,,
877057,AAA,2014J,oucontent,,
877422,AAA,2014J,dataplus,,
877090,AAA,2014J,oucontent,,
877150,AAA,2014J,resource,,
877213,AAA,2014J,resource,,
877011,AAA,2014J,forumng,,
877252,AAA,2014J,resource,,
877054,AAA,2014J,oucontent,,
877404,AAA,2014J,url,,
877087,AAA,2014J,oucontent,,
877147,AAA,2014J,resource,,
877210,AAA,2014J,resource,,
877246,AAA,2014J,resource,,
877051,AAA,2014J,oucontent,,
877399,AAA,2014J,url,,
877084,AAA,2014J,oucontent,,
877144,AAA,2014J,resource,,
877207,AAA,2014J,resource,,
877243,AAA,2014J,resource,,
877048,AAA,2014J,oucontent,,
877396,AAA,2014J,url,,
877080,AAA,2014J,oucontent,,
877141,AAA,2014J,resource,,
877199,AAA,2014J,resource,,
877240,AAA,2014J,resource,,
877045,AAA,2014J,oucontent,1,1
877393,AAA,2014J,url,,
877077,AAA,2014J,oucontent,,
877196,AAA,2014J,resource,,
877236,AAA,2014J,resource,,
877042,AAA,2014J,oucontent,,
877386,AAA,2014J,url,,
877074,AAA,2014J,oucontent,,
877138,AAA,2014J,resource,,
877187,AAA,2014J,resource,,
877231,AAA,2014J,resource,,
877039,AAA,2014J,oucontent,,
877383,AAA,2014J,url,,
877071,AAA,2014J,oucontent,,
877134,AAA,2014J,subpage,,
877182,AAA,2014J,resource,,
877228,AAA,2014J,resource,,
