code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
CCC,2014J,23698,F,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,120,N,Pass
CCC,2014J,25261,F,Scotland,HE Qualification,40-50%,0-35,0,60,N,Withdrawn
CCC,2014J,27116,M,Yorkshire Region,HE Qualification,70-80%,0-35,0,120,N,Distinction
CCC,2014J,28787,M,South East Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass
CCC,2014J,28952,F,Yorkshire Region,Lower Than A Level,60-70%,0-35,0,60,N,Withdrawn
CCC,2014J,29411,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,150,N,Withdrawn
CCC,2014J,29420,M,Wales,A Level or Equivalent,70-80%,0-35,0,30,N,Pass
CCC,2014J,29639,M,North Region,Lower Than A Level,,0-35,0,30,N,Pass
CCC,2014J,30096,M,East Anglian Region,HE Qualification,90-100%,0-35,0,60,N,Distinction
CCC,2014J,30850,F,Scotland,HE Qualification,60-70%,35-55,0,120,N,Distinction
CCC,2014J,31161,M,South Region,Post Graduate Qualification,90-100%,55<=,0,105,N,Distinction
CCC,2014J,34068,M,Scotland,Lower Than A Level,50-60%,0-35,0,30,N,Withdrawn
CCC,2014J,35355,M,Wales,Lower Than A Level,0-10%,35-55,0,30,N,Withdrawn
CCC,2014J,35508,M,South West Region,A Level or Equivalent,90-100%,0-35,0,30,N,Pass
CCC,2014J,37652,F,London Region,HE Qualification,20-30%,35-55,0,50,N,Distinction
CCC,2014J,42746,F,South Region,HE Qualification,50-60%,35-55,0,60,N,Distinction
CCC,2014J,46705,M,Ireland,HE Qualification,,35-55,0,60,N,Fail
CCC,2014J,48635,M,South Region,HE Qualification,90-100%,0-35,0,120,N,Withdrawn
CCC,2014J,51576,F,London Region,Lower Than A Level,10-20%,0-35,1,60,N,Withdrawn
CCC,2014J,53300,M,West Midlands Region,A Level or Equivalent,90-100%,0-35,0,270,N,Distinction
CCC,2014J,54062,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn
CCC,2014J,60809,M,South East Region,Lower Than A Level,90-100%,0-35,0,120,N,Pass
CCC,2014J,61227,F,East Anglian Region,Lower Than A Level,80-90%,0-35,0,30,Y,Pass
CCC,2014J,61236,M,South West Region,HE Qualification,50-60%,35-55,0,110,N,Withdrawn
CCC,2014J,63371,M,Ireland,Lower Than A Level,,0-35,0,30,N,Pass
CCC,2014J,67685,M,South Region,A Level or Equivalent,10-20%,0-35,0,180,N,Withdrawn
CCC,2014J,69494,F,Yorkshire Region,No Formal quals,20-30%,0-35,1,150,N,Withdrawn
CCC,2014J,70214,M,Wales,Lower Than A Level,70-80%,0-35,0,90,N,Withdrawn
CCC,2014J,70495,M,Scotland,Lower Than A Level,50-60%,0-35,0,60,N,Pass
CCC,2014J,71723,M,North Western Region,A Level or Equivalent,10-20%,0-35,0,30,N,Fail
CCC,2014J,72609,F,Wales,Lower Than A Level,50-60%,35-55,0,120,N,Fail
CCC,2014J,73664,M,North Western Region,A Level or Equivalent,40-50%,0-35,0,120,N,Withdrawn
CCC,2014J,74290,M,Scotland,Lower Than A Level,10-20%,0-35,1,30,N,Withdrawn
CCC,2014J,76949,M,London Region,HE Qualification,50-60%,35-55,0,30,N,Pass
CCC,2014J,79461,M,Scotland,A Level or Equivalent,70-80%,0-35,1,60,N,Fail
CCC,2014J,80243,F,North Western Region,A Level or Equivalent,10-20%,35-55,0,90,N,Withdrawn
CCC,2014J,80329,M,South Region,Lower Than A Level,80-90%,0-35,1,90,N,Pass
CCC,2014J,80491,M,Scotland,Lower Than A Level,10-20%,35-55,0,115,N,Withdrawn
CCC,2014J,80868,M,South West Region,Lower Than A Level,80-90%,0-35,0,60,N,Pass
CCC,2014J,88758,M,North Region,Post Graduate Qualification,,35-55,1,150,N,Withdrawn
CCC,2014J,91040,F,West Midlands Region,Lower Than A Level,20-30%,0-35,0,90,N,Withdrawn
CCC,2014J,94978,M,North Region,Post Graduate Qualification,,35-55,0,90,N,Withdrawn
CCC,2014J,96864,M,West Midlands Region,HE Qualification,20-30%,0-35,0,30,N,Withdrawn
CCC,2014J,96874,F,South East Region,Lower Than A Level,60-70%,0-35,0,90,N,Fail
CCC,2014J,100788,M,Scotland,HE Qualification,80-90%,0-35,1,60,N,Distinction
CCC,2014J,101700,M,London Region,A Level or Equivalent,10-20%,0-35,0,60,Y,Withdrawn
CCC,2014J,102209,F,Scotland,A Level or Equivalent,10-20%,35-55,0,60,N,Withdrawn
CCC,2014J,104480,M,North Region,No Formal quals,,0-35,0,120,N,Fail
CCC,2014J,105168,M,Scotland,HE Qualification,70-80%,0-35,0,60,N,Fail
CCC,2014J,105413,M,South West Region,HE Qualification,70-80%,35-55,0,100,N,Pass
CCC,2014J,107883,F,North Western Region,HE Qualification,30-40%,35-55,0,90,N,Withdrawn
CCC,2014J,109577,M,North Western Region,A Level or Equivalent,70-80%,0-35,0,120,N,Fail
CCC,2014J,112454,M,South East Region,HE Qualification,90-100%,0-35,0,30,N,Pass
CCC,2014J,114367,F,South West Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass
CCC,2014J,119310,M,North Western Region,Lower Than A Level,20-30%,0-35,0,150,N,Withdrawn
CCC,2014J,120236,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,100,N,Fail
CCC,2014J,123598,M,Scotland,A Level or Equivalent,50-60%,0-35,1,60,Y,Pass
CCC,2014J,124711,M,London Region,Lower Than A Level,10-20%,55<=,0,60,N,Withdrawn
CCC,2014J,125777,M,London Region,HE Qualification,30-40%,35-55,0,30,N,Withdrawn
CCC,2014J,126812,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,120,N,Withdrawn
CCC,2014J,128072,M,Scotland,HE Qualification,90-100%,0-35,0,120,N,Withdrawn
CCC,2014J,128510,F,Scotland,Lower Than A Level,50-60%,0-35,1,120,N,Pass
CCC,2014J,129198,F,North Western Region,HE Qualification,20-30%,35-55,1,60,Y,Withdrawn
CCC,2014J,130671,F,West Midlands Region,Lower Than A Level,70-80%,0-35,0,90,N,Withdrawn
CCC,2014J,131222,M,South Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass
CCC,2014J,131663,M,Scotland,A Level or Equivalent,40-50%,0-35,1,30,N,Fail
CCC,2014J,131933,M,Scotland,Post Graduate Qualification,60-70%,35-55,1,30,N,Pass
CCC,2014J,132423,M,London Region,A Level or Equivalent,40-50%,0-35,0,240,N,Withdrawn
CCC,2014J,133419,M,North Western Region,HE Qualification,50-60%,35-55,0,120,N,Withdrawn
CCC,2014J,134190,F,Scotland,A Level or Equivalent,30-40%,0-35,0,120,N,Withdrawn
CCC,2014J,134982,M,Wales,Lower Than A Level,90-100%,0-35,0,120,N,Withdrawn
CCC,2014J,136335,M,East Midlands Region,Lower Than A Level,70-80%,0-35,0,90,N,Withdrawn
CCC,2014J,137281,F,South Region,A Level or Equivalent,40-50%,35-55,0,180,N,Fail
CCC,2014J,138861,M,London Region,HE Qualification,10-20%,0-35,0,90,N,Distinction
CCC,2014J,138997,M,Scotland,A Level or Equivalent,60-70%,0-35,0,45,N,Fail
CCC,2014J,142092,M,North Western Region,HE Qualification,20-30%,35-55,0,120,N,Distinction
CCC,2014J,144745,F,London Region,HE Qualification,20-30%,0-35,0,30,Y,Pass
CCC,2014J,145114,F,South West Region,A Level or Equivalent,40-50%,0-35,0,60,N,Fail
CCC,2014J,145490,M,London Region,Lower Than A Level,40-50%,35-55,0,180,N,Fail
CCC,2014J,145640,M,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Distinction
CCC,2014J,152626,M,North Western Region,Lower Than A Level,0-10%,35-55,0,120,N,Withdrawn
CCC,2014J,153788,M,North Western Region,No Formal quals,20-30%,0-35,1,60,N,Withdrawn
CCC,2014J,155298,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass
CCC,2014J,155956,M,South West Region,Lower Than A Level,80-90%,35-55,0,60,N,Fail
CCC,2014J,157310,F,Yorkshire Region,Lower Than A Level,40-50%,0-35,1,120,N,Withdrawn
CCC,2014J,160536,F,South Region,Lower Than A Level,30-40%,0-35,0,180,Y,Pass
CCC,2014J,161781,M,Scotland,A Level or Equivalent,60-70%,0-35,0,90,N,Withdrawn
CCC,2014J,163067,F,South East Region,Lower Than A Level,40-50%,0-35,0,60,N,Withdrawn
CCC,2014J,164968,M,Scotland,HE Qualification,90-100%,0-35,0,90,N,Fail
CCC,2014J,165647,F,Scotland,A Level or Equivalent,30-40%,0-35,1,90,N,Fail
CCC,2014J,165733,M,Scotland,A Level or Equivalent,20-30%,0-35,1,30,Y,Withdrawn
CCC,2014J,169297,M,Scotland,A Level or Equivalent,80-90%,0-35,0,60,N,Withdrawn
CCC,2014J,170030,M,Wales,HE Qualification,20-30%,0-35,0,60,N,Pass
CCC,2014J,171896,F,South East Region,A Level or Equivalent,40-50%,0-35,1,60,N,Withdrawn
CCC,2014J,175638,M,North Western Region,Lower Than A Level,0-10%,0-35,0,90,N,Fail
CCC,2014J,178072,M,South East Region,A Level or Equivalent,0-10%,0-35,1,150,N,Pass
CCC,2014J,181861,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,N,Pass
CCC,2014J,182854,M,West Midlands Region,A Level or Equivalent,40-50%,0-35,0,80,Y,Pass
CCC,2014J,185057,M,Ireland,HE Qualification,,35-55,0,90,N,Withdrawn
CCC,2014J,185127,M,London Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass
CCC,2014J,185451,M,Ireland,A Level or Equivalent,80-90%,0-35,0,30,N,Withdrawn
CCC,2014J,188251,M,North Region,Lower Than A Level,,0-35,0,30,Y,Fail
CCC,2014J,188273,F,East Anglian Region,A Level or Equivalent,10-20%,0-35,0,60,N,Pass
CCC,2014J,188662,M,Scotland,HE Qualification,80-90%,0-35,0,60,N,Pass
CCC,2014J,190780,M,Scotland,HE Qualification,60-70%,0-35,0,120,N,Withdrawn
CCC,2014J,196189,F,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass
CCC,2014J,199261,M,Wales,HE Qualification,80-90%,35-55,0,60,N,Withdrawn
