code_module,code_presentation,id_student,date_registration,date_unregistration
CCC,2014J,23698,-110,
CCC,2014J,25261,-114,51
CCC,2014J,27116,-156,
CCC,2014J,28787,-29,
CCC,2014J,28952,-50,12
CCC,2014J,29411,-135,100
CCC,2014J,29420,-14,
CCC,2014J,29639,-24,
CCC,2014J,30096,-22,
CCC,2014J,30850,-56,
CCC,2014J,31161,-43,
CCC,2014J,34068,-74,108
CCC,2014J,35355,-25,199
CCC,2014J,35508,-44,
CCC,2014J,37652,-11,
CCC,2014J,42746,-108,
CCC,2014J,46705,-61,
CCC,2014J,48635,-8,12
CCC,2014J,51576,-85,73
CCC,2014J,53300,-24,
CCC,2014J,54062,-67,110
CCC,2014J,60809,-24,
CCC,2014J,61227,-38,
CCC,2014J,61236,-23,69
CCC,2014J,63371,-32,
CCC,2014J,67685,-137,-4
CCC,2014J,69494,-25,177
CCC,2014J,70214,-17,33
CCC,2014J,70495,-52,
CCC,2014J,71723,-65,
CCC,2014J,72609,-23,
CCC,2014J,73664,-88,60
CCC,2014J,74290,-124,53
CCC,2014J,76949,-37,
CCC,2014J,79461,-16,
CCC,2014J,80243,-150,12
CCC,2014J,80329,-14,
CCC,2014J,80491,-58,198
CCC,2014J,80868,-60,
CCC,2014J,88758,-29,-8
CCC,2014J,91040,-108,230
CCC,2014J,94978,-143,111
CCC,2014J,96864,-15,72
CCC,2014J,96874,-36,
CCC,2014J,100788,-103,
CCC,2014J,101700,-49,-25
CCC,2014J,102209,-57,109
CCC,2014J,104480,-121,
CCC,2014J,105168,-18,
CCC,2014J,105413,-43,
CCC,2014J,107883,-82,68
CCC,2014J,109577,-50,
CCC,2014J,112454,-123,
CCC,2014J,114367,-51,
CCC,2014J,119310,-30,25
CCC,2014J,120236,-3,
CCC,2014J,123598,-28,
CCC,2014J,124711,-155,54
CCC,2014J,125777,-29,87
CCC,2014J,126812,-46,111
CCC,2014J,128072,-15,73
CCC,2014J,128510,-156,
CCC,2014J,129198,37,173
CCC,2014J,130671,-150,34
CCC,2014J,131222,-143,
CCC,2014J,131663,-18,
CCC,2014J,131933,-64,
CCC,2014J,132423,-45,12
CCC,2014J,133419,-14,125
CCC,2014J,134190,-70,32
CCC,2014J,134982,-24,25
CCC,2014J,136335,-25,217
CCC,2014J,137281,-129,
CCC,2014J,138861,-12,
CCC,2014J,138997,-116,
CCC,2014J,142092,-94,
CCC,2014J,144745,-51,
CCC,2014J,145114,-130,
CCC,2014J,145490,-15,
CCC,2014J,145640,-74,
CCC,2014J,152626,-154,9
CCC,2014J,153788,-137,-106
CCC,2014J,155298,-67,
CCC,2014J,155956,-31,
CCC,2014J,157310,-150,-5
CCC,2014J,160536,-31,
CCC,2014J,161781,-38,72
CCC,2014J,163067,-149,12
CCC,2014J,164968,-18,
CCC,2014J,165647,-78,
CCC,2014J,165733,-57,160
CCC,2014J,169297,-38,162
CCC,2014J,170030,-60,
CCC,2014J,171896,-134,84
CCC,2014J,175638,-43,
CCC,2014J,178072,-9,
CCC,2014J,181861,-142,
CCC,2014J,182854,-14,
CCC,2014J,185057,-31,34
CCC,2014J,185127,-61,
CCC,2014J,185451,-89,145
CCC,2014J,188251,-9,
CCC,2014J,188273,-68,
CCC,2014J,188662,-38,
CCC,2014J,190780,-87,75
CCC,2014J,196189,-74,
CCC,2014J,199261,-52,97
CCC,2014J,199361,-80,
CCC,2014J,199760,-15,
CCC,2014J,200372,-75,111
CCC,2014J,201425,-115,
CCC,2014J,205218,-120,-113
CCC,2014J,232072,-31,
CCC,2014J,233444,-44,187
CCC,2014J,234957,-99,109
CCC,2014J,235121,-11,139
CCC,2014J,238255,-155,118
CCC,2014J,240486,-61,
CCC,2014J,242636,-109,
CCC,2014J,242778,-28,
CCC,2014J,243358,-57,
CCC,2014J,244738,-135,
CCC,2014J,245217,-18,
CCC,2014J,245600,19,
CCC,2014J,246829,-81,158
CCC,2014J,247304,-89,
CCC,2014J,248818,-115,27
CCC,2014J,253013,-29,
CCC,2014J,253496,-4,207
CCC,2014J,256532,-41,
CCC,2014J,256680,-53,68
CCC,2014J,256867,-10,
CCC,2014J,257887,-45,
CCC,2014J,258042,-22,31
CCC,2014J,259641,-101,
CCC,2014J,260062,-87,111
CCC,2014J,261160,-5,157
CCC,2014J,262385,-61,
CCC,2014J,263150,-22,12
CCC,2014J,264151,-103,
CCC,2014J,264715,-99,
CCC,2014J,264723,-150,74
CCC,2014J,264845,-15,
CCC,2014J,266097,-8,69
