id_site,code_module,code_presentation,activity_type,week_from,week_to
909016,CCC,2014J,forumng,,
909326,CCC,2014J,resource,,
909059,CCC,2014J,oucontent,,
942322,CCC,2014J,subpage,,
909093,CCC,2014J,quiz,,
909252,CCC,2014J,subpage,,
909294,CCC,2014J,resource,,
909013,CCC,2014J,homepage,,
909323,CCC,2014J,resource,,
909056,CCC,2014J,oucontent,,
937763,CCC,2014J,resource,,
909090,CCC,2014J,quiz,,
909249,CCC,2014J,subpage,,
909291,CCC,2014J,resource,,
909320,CCC,2014J,resource,,
909053,CCC,2014J,oucontent,,
937760,CCC,2014J,resource,,
909087,CCC,2014J,quiz,,
1072252,CCC,2014J,forumng,,
909246,CCC,2014J,subpage,,
909288,CCC,2014J,resource,,
909317,CCC,2014J,resource,,
909050,CCC,2014J,oucontent,,
937757,CCC,2014J,resource,,
909083,CCC,2014J,oucontent,,
1046237,CCC,2014J,resource,,
909243,CCC,2014J,subpage,,
909285,CCC,2014J,resource,,
909314,CCC,2014J,resource,,
909045,CCC,2014J,oucontent,,
937754,CCC,2014J,resource,,
909080,CCC,2014J,oucontent,,
1042374,CCC,2014J,resource,,
909240,CCC,2014J,subpage,,
909282,CCC,2014J,resource,,
909311,CCC,2014J,resource,,
909042,CCC,2014J,oucontent,,
909349,CCC,2014J,url,,
909077,CCC,2014J,oucontent,3,4
1016724,CCC,2014J,url,,
909236,CCC,2014J,subpage,,
909275,CCC,2014J,resource,,
909308,CCC,2014J,resource,,
909039,CCC,2014J,oucontent,,
909345,CCC,2014J,url,,
909074,CCC,2014J,oucontent,,
1011840,CCC,2014J,url,,
909233,CCC,2014J,subpage,,
909272,CCC,2014J,resource,,
909305,CCC,2014J,resource,,
909036,CCC,2014J,oucontent,,
909342,CCC,2014J,url,,
909070,CCC,2014J,oucontent,,
1011837,CCC,2014J,subpage,,
909230,CCC,2014J,subpage,,
909269,CCC,2014J,resource,,
909302,CCC,2014J,resource,,
909033,CCC,2014J,oucontent,,
909338,CCC,2014J,url,,
909067,CCC,2014J,oucontent,,
989839,CCC,2014J,subpage,,
909101,CCC,2014J,page,,
909266,CCC,2014J,resource,,
909030,CCC,2014J,oucontent,,
909333,CCC,2014J,url,,
909064,CCC,2014J,oucontent,,
957609,CCC,2014J,oucontent,,
909098,CCC,2014J,quiz,,
